CPU Low (ns)	CPU Medium (ns)	CPU High (ns)	CPU Medium & Memory Intensity (ns)	CPU High & Memory Intensity (ns)
10050949	11175006	13016069	8199832	6720682
8983682	8111860	6659427	9776989	10124378
8972995	9997853	10104729	9533811	9976101
10171328	8601232	8820499	8452581	10909491
8912036	9000258	8427542	9992959	7985923
9703826	10383088	10025456	8950095	10224535
8292337	7925901	8969820	10005911	9896047
9966497	9704139	9003511	8054000	10096860
11008698	9163798	9952892	10204588	9912302
7132799	9748056	9021849	8751463	8897312
10627787	9474264	8954125	9972397	10011262
8274973	9530411	9718600	8060097	10387052
10965963	8106421	63930010	10099459	9808389
8076354	61038600	9070498	8858168	8930275
9956834	10245930	10298954	10046015	12000910
9032037	7655900	10655158	9004814	7043826
8022060	11910366	9055155	9946836	11003669
24979380	7149914	10454448	8094084	9924889
3904522	9290719	8537388	10882794	7892983
11057326	10057255	9949774	8064478	12059720
8996865	8960669	8965380	9588874	9076529
9011048	8942781	9385222	9397678	9862491
9075561	9670258	9046105	9037096	9323212
9855601	9412012	10688085	9964606	9758425
60987568	9020867	9267928	8590172	10032035
9020087	9066142	11067787	9374498	8078536
9092164	10456497	7974421	9277889	11850200
8985246	8514100	10032265	9750444	9362555
9988683	8512077	8968682	8578395	9574069
8928380	9947501	9642178	9489471	9108848
8006030	9423960	9036327	9526896	10012033
10976763	9182872	9326626	9015508	10017683
8069802	8528670	9997596	9393414	6935579
9975075	10930249	10635420	8945522	13005173
9084842	7907505	8433492	10048886	8013512
8955487	10218777	10651599	8616228	10078969
8993784	8325249	8290376	9421095	11945441
9947947	10488739	9964966	947584	7020314
8969363	9125642	8019281	7026572	10994763
9001154	8299171	10641301	9520253	9081585
10023097	10086244	9320501	9531800	8856047
9046479	8553781	9058271	8934154	9957645
8953973	9081861	9924551	9583167	8956398
9026359	10464456	8877666	9384844	9094127
10042702	8883676	10122315	8971005	10087552
8956938	8678720	8632230	9040594	9914500
8990165	9963576	9402614	12223618	8969453
10083220	9351386	8986652	6847713	10134929
9028779	8549486	9629160	10206890	9826000
7871502	9556564	9421696	8777833	10047383
9995869	7741869	9590826	9020067	8909745
8982217	13103947	8388697	8933769	10087386
9040197	6641227	9977126	9189865	9929922
9974871	11026521	9065094	9424286	9222750
8975443	8038592	8961520	9407413	11058823
10110649	9269772	9599237	8976214	8907996
6896225	8981916	9373345	9655908	8903570
12751161	11057482	9058426	9010074	11159390
8246406	7113774	8956099	9327886	8855550
9738392	10560023	9986212	9052177	6200434
9221479	8000905	8990289	9584670	-259518
11051449	10975270	9030724	8955174	14091612
8978969	6939449	10043575	9476508	7983906
9781782	11370019	8547812	9533084	11087524
10313996	9678945	9393386	8994015	8905237
8984644	8015496	10025722	9514256	9044851
9947810	9965004	9965637	8892967	11106909
9043940	8320199	8823302	9663014	8920561
10928685	10100586	10777496	8943309	9913076
9029493	8719160	9001102	9474016	10078061
10029640	9818184	9416047	8974522	9042277
8136080	9550033	10016224	9583022	10834850
9801162	8860423	9988461	9382047	8913308
9105313	8977305	10038309	8994041	9107834
9944885	10089578	9906747	9260777	11014551
9042786	8560310	9002403	9736027	9159667
9015711	10363298	10003986	8608357	9971712
8982679	7958657	8643458	9365571	10104501
9952475	10619506	9067668	10033452	8887896
