CPU Low (ns)	CPU Medium (ns)	CPU High (ns)	CPU Medium & Memory Intensity (ns)	CPU High & Memory Intensity (ns)
10104331	131136	9290259	337459	6856891
9955229	117971	68970	171511	12213942
7959731	155025	7642900	663863	7896176
10902700	75767	12007459	3789956	10079284
8196867	123004	7129090	1027361	9957794
8936315	113536	10307803	429140	8848245
10895597	192053	8883321	809349	10040838
8071003	200511	9736975	372014	9101507
8885914	209497	9218821	634443	9810541
9968437	237230	9304456	485556	9094922
8056860	195852	9397473	261142	8985135
11267581	186858	9987171	600481	8945749
7674639	172540	8036564	640196	10047308
10123478	184543	10090240	215603	9011581
10022901	453885	9190836	613982	9936205
22883097	87308	8897175	46318	9329719
3040516	195110	9769660	394847	9766355
12994198	140365	8969851	836989	8955675
7106053	122273	9325574	187929	8976170
9873574	261937	10715194	73787	9907853
10003243	68875	8966985	584406	9088065
8977165	113003	10195178	4768264	9940380
8905818	113551	9839328	11076850	9947168
8169406	116600	9076081	9967899	9020468
10978671	114322	9941329	10083879	10049337
7933073	114816	8955497	1050910	10974206
10829999	146842	10011853	5769577	8017734
7244374	85372	9052483	63423	9941987
10823137	109320	9206408	678489	8034640
8131016	109691	9778893	5544906	10105884
10834456	111906	9015514	976779	10870042
7980229	112951	9258269	230476	8103982
11072099	112698	9707544	606452	8820601
6959400	119628	9248363	6035181	11187237
11203827	116345	9748082	950940	7904715
7679430	239449	9190836	1303912	8985425
9988462	114417	9263946	720755	10090210
9101451	112460	9502025	2077280	9176966
10104137	112882	9076121	83007	8947066
7933219	122229	9937684	102346	10780385
10079747	104999	9006101	10689282	7890102
8766127	121783	10998433	7946684	10017098
9983188	125763	8944966	2017481	11061585
10163630	105087	10051815	5335225	2960470
7964088	138544	9056219	12610787	2937513
9904045	117852	9932746	7423220	12006086
9104270	113944	9042883	10593650	8130554
9061472	114359	9980203	385781	11886232
9860968	121029	8963365	465118	7923303
8054098	117286	9389865	5213231	104914
9814279	106743	8946175	1000543	6875721
10191072	148645	8017224	211807	986745
7948696	227698	25746775	683308	209244
10874937	121390	4939011	164414	6005948
8129230	116525	9934593	111885	13857256
9341865	116134	9180236	49593	5982946
9493376	114448	9893890	388904	11115923
9157236	128665	8990175	282712	7858922
9848623	238169	11304982	10227619	134048
8038798	90843	7763521	155369	8883592
9002503	130520	9923314	66204	9092817
1011200	123333	9102337	678630	9872645
314933	127364	10870043	384959	11076033
123680	163201	8997479	162357	6915782
263219	207864	8991028	494254	11003540
232079	75720	73061	172517	7955277
232422	80765	8966876	11794198	11133419
281516	131439	8927385	593864	7031183
233914	123022	10284395	843839	12047731
301099	119378	9809657	124383	7883807
169890	113001	8885370	861707	10985320
243789	127883	9017208	321315	8908785
439074	115970	9024302	13284620	8928862
175450	142671	10055474	898134	9997253
233569	152886	9276148	263069	9119891
279549	107784	9001863	1020878	10897650
252405	108471	9674631	1022606	7967622
289093	121673	9032902	713827	10109051
195980	98177	9386317	281541	8924028
111738	110492	8681597	6620968	10250872
209243	111039	10866819	12112263	9692690
215194	243111	11104376	7858946	10010678
226065	107372	8908039	9050903	9007576
253482	111746	8979531	475931	9018536
221483	108445	10205778	815816	9002305
342634	108636	10049515	127950	11033386
210730	109765	8786794	961161	9054474
213448	110742	10205718	161277	9100995
253443	100733	9837878	928856	12977150
196160	150040	8960963	138533	6911753
354226	223860	8890747	10392713	9156754
281184	40363	9022187	9091558	9738252
436220	106907	10144595	924000	8957798
194162	107628	9150390	7961591	11116713
202431	114236	9768074	172679	7141230
241100	108848	8900610	277497	9891017
324900	109925	10017402	200314	9876318
201040	219736	9125285	703044	7967104
200202	116332	8954033	888808	9979032
239525	104602	10592717	793262	9077493
242000	106482	7622700	12045350	9178587
280252	107296	10732454	1284590	10075029
199056	108039	10090483	92502	9064595
199776	108342	8930997	245292	9631096
290219	113269	10673767	311637	10046140
285067	117496	9380528	1179932	8943319
152972	126789	346799	12050483	9002699
228080	114685	988319	9810859	9069958
205685	105652	4610457	1078422	94917
127376	106605	11008457	5964677	573483
301738	107709	9084226	9844589	6422419
228938	123062	9775112	265563	12854191
300695	111059	9115017	733699	8048720
712891	113119	8977688	549077	9948996
245768	243137	8967019	196944	9058284
178353	105791	8879308	1661259	10192756
215893	105838	11127182	1918971	9809020
118176	116579	8004479	4628792	9033366
227526	108338	9978455	367808	10005978
294419	109820	9940115	299757	8077753
526347	110323	10130101	423297	9736976
137255	113253	7990567	371489	10037814
210419	137118	8830630	5723970	8331765
246097	68527	10039093	13934862	10665630
240621	105879	10052390	294129	8344692
134526	132698	9997088	187920	10596652
210682	98345	8901382	780633	7700548
249408	107969	10050188	258023	11326699
110643	109507	10062121	12418281	8160167
223675	112263	9167263	1252862	10852485
292342	110790	10008103	144090	8969783
121866	282855	9716502	659852	9271760
205301	137484	9942052	502041	10677856
191115	72443	8997243	604060	9130230
8063743	108566	9371308	11764467	10960594
688085	107501	10646405	9107780	8067722
314634	108774	8973822	515179	9923668
175589	109548	10439268	941449	8936912
113668	125388	9559805	6496860	10989153
122051	154088	10076509	9949923	8021605
316194	125473	10089086	1249345	10018963
115533	107239	8899883	6700591	8170288
242722	107626	10003183	365541	10041677
156898	108719	10995663	409345	9715425
208752	109203	7948083	6214022	10074394
263112	120244	9968165	12234175	2924285
291579	111709	8993656	9028674	4013512
199940	146830	8975397	958067	10089152
224553	68454	23181478	193768	9939720
221189	110419	5816893	87686	8953134
205301	108099	10004672	233522	8984591
284163	59100	9985083	1054224	10131087
122981	125685	8453585	386016	10929550
211223	111791	9628648	927270	7989436
6465615	111255	8968419	173957	11041250
13938208	100268	7348701	411716	8816718
6030966	247327	12578646	4366610	8094499
11119211	96442	9062615	394804	10221066
8053408	204610	9979923	10865480	9056077
10821937	84773	9888702	150637	9957922
8316714	170031	9096460	260972	8957943
9755346	186448	9120114	229372	9835026
8812899	127835	10892535	510107	9209171
9269584	152054	8096668	734643	9940434
8774973	315085	10927773	11031068	9825779
9935771	79442	7985162	10795547	9960432
9149566	184116	9921747	9079726	9055105
9881761	178984	9046567	9824531	9127392
8957856	206028	9244351	62481	10786033
8187800	205215	9755161	706336	9029028
10896552	201471	8910120	4577089	10263232
8925638	157666	9567387	12007123	9780269
8030857	170332	9432178	8991051	8982156
11030643	215646	9136959	10063901	8995922
7879272	160224	9871714	9632420	10009982
7123813	119591	8041094	2457515	8384544
12931977	111398	11020489	81935	12631956
7826338	110274	8912211	3664672	6012783
8981813	114264	10055074	170645	10246895
10563919	116527	9961773	122267	10777095
1882466	117162	8948915	789424	7821514
159653	155406	10990712	154572	11079055
164842	136275	8599681	3785143	7936822
187285	109947	9737484	822129	9064189
353079	110724	9690494	218222	9920651
110422	117613	9118197	96517	9061325
203294	133067	9867396	5595894	9942621
259225	118420	8027891	12446157	9378574
347282	117647	10972818	7640519	9590687
212787	715858	9054092	10163275	8988825
208872	115685	9235901	8902531	10069837
234602	120090	9747715	11222662	8952530
224369	142304	9403754	1618923	10107585
201162	74623	8780277	4022660	9969321
199945	111679	9767000	459610	8910608
289232	115737	10167165	222607	9982860
161586	121908	7961242	453819	10019762
176210	113570	12080468	557180	8918251
258989	115721	137056	3263212	10068769
303877	115580	394119	12066312	9066111
260480	115853	3323870	363585	9959801
576863	356449	11923038	6055628	8063222
370129	138566	11219696	579080	1427189
251453	152354	7846902	1373354	5461339
130304	114738	9066839	160350	11914723
234149	116526	10141934	4376413	10130655
472480	272348	9705712	10996912	8947474
211681	55281	11206503	8189719	8342752
208053	109927	8958317	9842410	9680336
440305	110951	8423439	432977	10934834
207556	110593	11513418	106025	8026851
257448	110637	9071594	733860	9924572
216984	112848	8961083	107935	10119268
305641	136862	7892819	1874285	8954915
342240	158074	10016292	11766673	10892787
177823	163125	9192509	9923065	8121384
210096	110312	10012456	323600	10944461
128876	110406	9826082	661022	9052905
547535	110996	8951688	152177	9825121
191676	120006	9290018	292247	8076664
121681	103891	9771260	2102755	11016714
149838	126098	9918197	11843422	8936473
369667	145594	9992087	9197781	9327012
208971	145846	9013636	9578604	8747763
205309	108784	9041560	447129	10961350
222652	109135	11032790	155669	8008373
257459	112500	7913590	716541	9964791
232608	115382	9177931	3585099	9999965
220010	114572	9787025	11987836	8967744
346216	115330	9360304	8050469	9026671
291882	130588	9654694	10359645	10004748
220199	58294	8951441	8656272	10037895
219915	109934	10058264	9874114	9043590
155324	109290	8935311	2043475	10897330
274940	113746	9162619	5020673	9191038
688766	112233	9922939	341773	9760597
281006	113805	9079582	9580647	9104646
170026	113564	10842273	9118472	8957403
177373	119468	8353920	9035423	9865128
216903	294003	10698896	10937732	9026004
87452	135078	8991260	9052269	9045459
398578	119096	10005113	210294	10010451
117485	110035	9047430	754525	7947866
267520	118596	9929018	169058	10332260
282755	115496	7996367	801451	8607209
360705	123166	11974748	513868	10053562
224429	143831	7982241	697661	8941006
200511	133135	9131629	8137994	10059529
114784	108428	9922761	10625590	10049956
674121	109520	8992885	9934244	9973899
129090	110934	9991749	5029232	9037262
198364	112380	8353934	1970353	9878585
566499	122234	9767774	116614	9995666
233330	119955	9818870	246195	9052258
166936	145127	9357266	254506	9213512
222861	59772	9008299	6443000	9747242
54885	108134	9615424	11370680	9093630
207053	108175	8980478	136293	9905164
264259	110053	11094572	532349	9220801
345799	117864	9160572	676194	10803334
242969	112938	9836074	805697	10099467
265533	113733	9983742	1433520	6990495
225694	116236	9113572	100309	9859101
195668	146465	9889747	140000	8975298
220031	161046	9983830	8821623	10039360
214808	109990	8017136	9925947	9430423
199305	110075	10296209	9996039	8775429
325170	111973	116247	392366	10803557
336359	111869	552159	6888199	8998389
825026	125972	233123	772931	9980333
109151	130813	3740886	262201	10001839
102381	139015	11004560	6254055	9211876
197351	143800	8154919	882006	11949034
3094918	108531	10877798	197161	7814987
345266	109656	9012977	645881	9028379
195030	111249	10010684	920701	11085160
169883	123357	8118062	489676	7973475
144562	103619	10272168	451978	9945808
144779	115522	8686907	11838208	10005202
189514	144543	9902823	493279	8934709
185238	73428	9086648	6572885	8254591
216474	106977	10141955	2018656	9767576
242329	1222066	9789201	1185781	9013705
261349	159743	9925227	629344	9973463
216043	153382	9089737	1239433	9967641
186957	155131	9952375	79394	9024189
202352	262239	8976401	173474	10271422
212852	160119	9076426	149566	10753015
309562	150777	10232113	507382	9279173
318319	156111	10766449	150892	10757479
253088	202975	7225353	3851650	7903252
511218	211437	10719011	13292367	10063560
284097	259348	8025254	7778675	10954671
183129	44234	10994352	1061143	6969241
228287	165221	7979693	359921	11000150
309871	87153	9961703	4442776	7993101
265865	112356	9979461	10787277	10067863
228824	113625	9033268	9327949	9041959
268045	250129	9223570	373740	9878558
213910	80660	10819447	7515595	8122340
213252	109215	8981624	930587	9896352
214335	108752	7952363	7439063	9154456
209001	110161	11229919	1689275	9842485
290219	109489	9747577	6869453	9955049
237905	115950	9345742	11146220	9063021
246106	113968	10736512	4291135	8949978
228970	155280	6951724	257241	9302183
415231	78235	16164834	590526	358008
225358	107550	3923692	10831629	7307877
219168	145958	10945225	307135	12063250
138738	151561	8014804	106090	8929040
174310	167075	10003828	7519543	9160752
280452	159766	9918182	10005103	10879306
212411	183012	9093569	8985570	8018731
218564	76651	9897022	10028414	10066555
293218	109323	9100272	8959712	9037178
293170	126670	10068057	8959035	11044826
198545	172659	8888174	8970436	6784478
189828	121694	8977274	1000608	10996430
271118	118725	9269029	981054	8052935
272036	115810	10672193	123776	22916748
207332	145530	9038720	2927808	6025964
227668	69880	10014968	205154	10055554
356060	113354	8970107	191859	9936546
240734	153926	10178357	164922	9098003
204109	111408	9862179	688421	9903222
200936	114109	8980382	213066	9050518
280367	111025	10033609	2733313	8960055
210784	117437	8926228	12830491	9967060
250694	111902	9001788	1982210	9406330
115859	262389	8951588	103587	10629119
256829	70604	10126107	126736	9145152
154016	112050	8961201	385988	9963976
264924	107503	9952597	13371085	9862174
201451	108488	8992091	8084895	10051833
1053088	107735	9971997	8981526	7970577
1071642	110614	9125542	10979889	10023406
275498	114057	8782167	1040226	12173373
371367	135174	10017954	532085	5879639
203380	122261	9063137	803523	11202218
277222	106422	9913731	943462	8675184
203970	217003	9001391	12706386	8450515
161051	112056	9480664	866423	11820119
603376	116261	12639006	5048076	6779883
118527	118979	6952229	2054175	11081284
118688	136626	10008961	8882852	9895373
319930	335461	10006113	2191281	8096670
104035	116290	8126044	4743808	9950907
277234	77043	10838724	238419	8901632
236961	108978	8968051	610391	10119182
165978	110701	9022608	644886	10001892
320164	111212	1163184	520710	8899802
211637	300084	6922359	339908	177169
227209	92322	8834803	1284620	8840216
136775	115600	10139746	13368072	11086592
244721	123529	10872672	174916	7986617
106942	108557	7974520	647058	9858445
200385	109809	9997006	346198	9091528
216075	109809	9121950	1214096	10868360
353528	134315	9921802	12698980	8027202
216789	98625	7931157	7970007	2108483
216788	166546	11111275	10018530	5982941
294129	128941	8895723	9958403	9936930
252788	130002	9051625	132056	10074741
190105	130429	10145463	337951	8931208
157171	133611	9847804	1586209	8189011
219450	132490	8926172	1153844	10778764
394124	160989	10007462	415966	8323331
214896	170004	93791	10300048	9577376
629073	128421	7903751	9979629	9986499
216560	129561	10070453	9163418	9066126
79299	140925	9989532	10038710	12022694
200665	131896	8903262	1949513	6957297
220743	132991	8049635	4923043	12087619
264226	152005	11057275	1983012	7916171
142841	138900	8998803	1236387	11119214
243182	106653	10050377	1399262	8959438
214301	107013	7901071	234757	9907365
274510	108387	10992066	800496	8012206
309264	110004	7891298	203505	11043015
202705	101552	10060752	6118821	8920513
163690	113773	8136146	12982853	9305979
211926	118028	9974990	5099328	9666143
300717	504431	9910621	114158	9066208
268835	157168	8989306	660354	10914958
223514	157539	9904341	9133109	8112225
281690	137747	10082113	191877	8879726
279191	138163	9959136	236499	10128534
199973	231663	9056594	653532	8975609
179266	158910	8892321	429961	3369699
223711	134969	10151631	750243	4498904
318084	113453	9886591	755916	11069053
233090	110537	9044474	544826	9027666
199020	110361	9184766	11597402	9937474
267547	204872	9165905	9747823	11053050
202679	82201	9573637	1031304	7968387
258853	116586	9050476	234042	11031391
177212	107510	11013377	824523	8960583
508656	108309	7903972	382095	10188915
238807	109158	9374771	511534	9821506
210743	113258	698768	12943593	7945575
215067	111183	6984188	1008836	9914703
532535	161262	11237057	5966810	8978709
194833	144043	8716384	11131393	10177289
199456	106823	9961257	122995	8833012
203521	108057	10067674	5821307	9224120
270792	108312	9101046	11028554	9066385
143390	108876	10065651	1871295	9823982
205122	172321	10065339	5076060	9936681
246722	116665	9267402	962969	9991692
