CPU Low (ns),CPU Medium (ns),CPU High (ns),CPU Medium & Memory Intensity (ns),CPU High & Memory Intensity (ns)
105649,139554,116527,9981361,1050171
126459,1030664,595920,562290,104995
203897,175544,130981,5430612,1000595
205756,169956,191200,11067864,428446
243111,167272,127607,9988435,1446671
135136,168031,577775,9952881,1066618
115351,215754,987350,7992012,791361
108850,146430,929329,11155044,149804
110202,180521,170735,8878969,2034258
112100,184432,214217,10945195,245592
111366,157514,868850,8076881,58401
112452,397286,250169,9969724,547905
354198,173706,642271,8932679,3114077
115244,173605,202682,4069263,886630
108502,179759,794331,4138765,247507
114408,188117,283656,785757,89552
110371,211740,703316,1972462,848414
110182,209848,202873,2057424,915871
111232,179107,806331,7167235,235090
116207,182011,211522,1913294,685732
155361,1086832,749840,865359,1159197
106932,233980,256135,4973016,140056
106441,115725,748352,162008,851255
107141,174265,209585,906608,3708459
108054,180211,906151,2140238,459413
108747,190810,984196,895684,3674282
117675,188994,430766,4891410,190777
144593,212404,555805,172526,2029911
90671,222773,119473,1951216,64189
108660,415218,787848,928535,3840978
107248,363790,225569,3148899,182083
107452,122359,653193,1038171,561844
108397,82302,290636,3720241,109333
115451,466523,799506,986053,1237530
100249,390813,98478,1040129,3828715
111356,77162,776683,2372288,145458
145159,83901,230704,607746,891386
89663,76565,787656,742732,7886497
573146,175849,145272,1057083,261908
120110,181808,857860,367210,6680742
119350,384986,154763,862437,8170176
156419,174799,866620,159571,140028
139417,175741,137085,885067,10709227
82344,180061,878861,1000134,9969168
113887,181432,129667,211797,7944387
109230,212491,810713,374580,10972101
111924,126989,162148,346146,8982793
111357,172568,841364,995130,9120888
111325,176675,134069,139866,9913238
240412,182816,842204,159144,9093330
115802,414220,186381,359740,10879470
107590,237356,827455,1360160,8019859
107571,208950,186188,192470,10023494
96783,194162,816918,765545,9340325
109120,215150,117856,130105,9623999
112708,234753,89350,872460,9122059
109887,167374,803110,581705,9783118
241375,169012,150142,102172,8095250
107017,3324531,960032,461271,13028615
106362,12476882,95641,810918,5860500
106651,8685281,782785,265772,12093057
109307,4034103,263309,743063,7946856
98321,152148,795327,128601,8148969
109123,1814627,164715,316382,12041241
109764,11906337,784170,489264,6824915
145015,11024497,229577,617708,11005711
90210,8071985,816884,119003,8946604
109636,11017067,106852,85194,11316449
108046,8895769,840410,811523,7771141
106939,192135,247181,473868,10956255
107829,80756,731224,646352,8256859
108640,185628,185102,236146,10242947
98255,183905,835149,180699,9567759
111213,190149,899168,396847,9290584
249478,193792,105554,63343,11676460
177532,228057,66297,133697,7018376
116938,179661,1247403,182701,11045790
109051,175421,171676,602894,8898253
109596,184564,298292,141318,8969887
109599,221294,164479,282286,10090979
114225,5350345,134899,585062,9083781
295273,14014407,148872,74106,9861670
83035,3140593,703845,933963,7960042
129487,1437205,183984,990465,11106313
106870,4014615,857867,996956,7797779
107672,5099020,1092064,106919,10991651
108392,7112743,726612,879767,7168342
109026,989811,156481,1062645,11887691
125276,279562,1046567,115957,9052975
136900,137486,925022,863717,8925229
224067,79681,93027,362343,9901502
114974,1058459,784713,165809,8291979
110902,214402,79763,1488981,11880633
108526,212019,200949,1410489,7882018
121678,73458,688800,88498,11009187
111856,302398,137273,436974,8154460
250324,318793,81761,1040141,9771881
107005,184960,202164,449085,9399918
106124,122096,678070,80403,8674038
106397,182919,2192821,69572,9997002
107168,258584,1854357,1379432,9234846
118306,301687,1880644,2421881,8926105
109260,612018,216260,572339,24132013
110071,83987,2866310,2368115,4639006
145668,178700,92189,158207,10007655
76224,564315,9778849,2969356,10019317
109462,583767,8969069,108044,8996939
105995,1024736,12220918,4844194,9163373
109043,2945126,1248304,108754,10870826
108828,424481,843923,824614,8214735
97692,549131,916124,516338,10695030
109594,967546,2225145,12682438,10125813
110715,1016503,244608,7846932,6191057
116052,5058183,414053,11032837,91062
76214,960720,212612,9030621,11596329
153317,7030965,890985,9019934,8476790
115681,2904076,123148,8888013,10602331
108542,1082263,190003,283879,8383455
109837,193139,1703321,7679191,11674624
110240,258109,296382,10992931,6247590
101723,171944,667575,8997408,6680804
111341,44224,213144,11099558,967150
345384,143756,2640511,9010461,12076052
113066,101118,913917,8135031,7989241
106342,426553,338890,10825456,9973566
111920,178351,973205,8935832,9986499
107979,73902,1760343,10031668,8390713
108271,537744,277691,8991342,9586873
110060,75039,12818648,9141476,8956550
230767,68128,7844561,9967342,10970040
217278,157980,145315,7854654,8059644
266687,156568,440582,10987788,10895025
153987,150759,380563,8263769,9026701
172056,373069,216323,9764814,9372388
189936,70129,124763,10074099,9856208
207656,253987,820839,8939753,10273426
179501,466287,193768,9071138,10655988
186007,2291839,1753501,9915943,7912136
130696,13936498,108475,8325389,9249702
123147,7799473,951040,10711568,9753517
119873,978628,150205,8990775,9107400
135469,7079680,95098,10966219,9850329
111821,317156,1111007,6002973,136897
111760,229192,631422,127701,1119925
123977,87939,971942,10847635,4763325
162852,379003,810272,10074483,12133571
132290,69414,448626,9986648,9061304
250510,157391,1060361,8995219,8108774
245192,160586,762728,10065946,10891839
192692,1001883,148112,11087412,8786714
189912,62039,688247,7890487,9036512
201060,72179,213100,10082181,8957099
123241,165078,251918,8031317,10007010
138999,210119,567578,8847917,10014153
118951,175299,185393,9943631,8894397
185581,155187,235354,8008564,10056167
123778,153905,564046,10105766,8969283
123549,275326,230367,9075190,9999073
137415,56850,767034,9740591,9412440
207695,228294,177383,9104266,9808754
166989,52597,844347,10012818,9718950
121895,61962,722047,9030139,9130844
115825,100341,419326,9919574,8910748
120191,152186,738133,11106484,9129038
118054,986659,91662,9030438,9929391
125565,63444,1192496,9022204,8928658
150440,81384,160216,9864464,10067323
160009,74413,5396492,10017549,8895751
112327,155592,13003371,8281251,8952715
128924,187603,8014010,10653270,10073459
121589,442127,10944988,1653732,8914887
120146,177166,9009881,899864,9353628
119607,318294,10021108,73462,9735238
124095,218247,9043731,1476604,8905435
145743,170837,10029825,2807418,8915529
120942,204822,10975269,75222,10143146
113006,629144,8011493,2024182,10834674
113980,65763,9888695,68800,8036906
114094,382133,11079888,884096,10003592
116872,428927,8992911,80680,8955713
121252,48958,9083606,1934046,2604443
122718,307127,10766357,175209,3831416
162277,764759,9033873,393061,12847111
255611,607233,9000878,967879,9202921
185197,753821,9100360,3451365,8824066
188232,2368193,9824411,2010542,9946829
188023,3999560,9020144,165064,9024654
279509,2009352,8995384,337949,8995824
80563,8974747,10066163,421824,9973409
115155,2588996,9171417,156691,10101553
166780,3477089,9782049,1839905,8973341
206889,86231,7996225,626401,9989295
180252,8855668,10972675,410534,9063503
126036,11564327,8106966,516760,8920043
89777,9455548,10913185,145715,9968003
261159,9903710,7919003,2384542,11169479
195766,10038336,12034476,114471,8777840
223159,9296877,7907389,130403,9050808
242318,10705650,10087154,305878,10067875
225641,2932589,7944620,1329579,9950118
186268,4058558,11001312,1089866,9720017
224643,10244571,7994293,149435,10195938
259484,2701870,10023122,1770685,7145637
165708,6052373,8993110,137026,9964858
154834,395517,9965496,138295,9881789
165138,8691899,7987865,813615,8948559
137997,3888425,10270928,1582289,8952755
139788,4179290,9794072,404812,10475038
168123,4834126,9010769,647389,8603175
178240,3996197,10010360,287222,10021587
136325,4016955,7854988,2320372,8926754
136303,3946584,8453900,907172,9014958
125598,9297503,12632706,269964,10013466
139870,66463,6308615,197084,9985314
142390,8710876,10090105,313864,9007016
167031,374607,8628180,115222,12177595
187120,9646404,9989088,2211646,7891156
135770,10892013,1148854,1815550,8838319
137763,8989774,6855562,211704,11185645
139992,9085160,9924830,695048,7990231
139334,10032101,8221377,1943029,9185016
299327,8954219,10739335,82318,9642137
188819,10068679,7988828,904329,9135567
116897,8308932,9999271,188916,9947207
140209,9570457,9023619,916611,8121970
140339,10043342,9172606,845385,10860546
151474,7994259,9858206,145571,8988407
257151,9979205,8954261,2891026,8933751
144097,9163628,8328271,969907,9211107
107865,9179981,10031544,958898,9826131
108126,2793479,9822423,130255,9054161
109062,82728,9919720,264729,8951639
109507,3761715,7404700,1818843,10930133
180709,11054279,11524096,6853079,8124631
137609,7989707,6977067,9195646,10953277
137798,9119204,3002883,9880436,9153229
105901,9796312,5018971,9901530,11829769
106923,9369761,10175709,8964900,9186680
107607,8978246,9049838,10057419,7878889
122871,9697376,9741253,8960962,10908455
100847,8937255,8461243,9014608,8109038
111495,9063190,9694910,10047113,9814137
119274,9944069,9781227,8232065,10154034
84169,8095273,8036212,9697728,7937178
137492,10472269,10216743,9275180,9953984
106434,8515898,9155597,10808969,9045626
111441,9984331,9668566,9875656,10279140
109640,4455774,8413344,7080500,9220942
112047,2497985,9511010,10179742,8481814
110817,10005802,10035015,8870085,10037082
102902,4993049,8258548,9908528,9099859
119064,2024953,10745264,8204853,9745542
81633,11139166,7960191,10781681,8090294
138901,8836597,10107512,8502669,10901471
107626,7134743,8979987,11385777,9145758
109903,11839891,9988789,9027059,10184847
109034,115165,7980858,11018109,9691734
112103,7266130,10090886,8125392,9092905
110182,7882114,8929845,10067130,10869059
111061,11759622,9890911,9769965,8038808
289302,2057246,8016133,8031372,11027615
61125,1138840,10090600,9963435,7985037
73228,969963,9130821,11143045,10011973
110045,898985,9090251,8905096,8900866
112917,5888705,10717687,8053921,10060018
113477,84776,8984228,9967416,10030547
118732,2012895,9980869,8954344,7908627
143574,2895355,8956491,5030059,10018282
165478,82912,11085499,1985854,9320025
140333,1936811,8934868,12094133,9700793
110428,2914966,10023618,6951429,8969101
110877,2119093,9046707,11924078,10032867
110816,128711,10868133,8952784,7958137
122819,880165,9103649,9117003,11074158
112615,1041833,9019896,9981028,8939861
113657,201365,5908612,9050423,10014012
263473,801959,1963369,272404,10023197
111900,2003970,285798,7574370,8998321
160322,886610,5913637,10166185,9974274
149056,1011279,156157,6977644,9973343
128157,1275558,93911,13137694,7985918
117613,1812737,691472,8796341,10992366
235253,876323,104878,9114826,8163437
84782,387869,8019553,192404,10916435
109096,604185,201105,3833516,8014180
109826,928164,887738,96115,9941126
167213,1025832,120012,260353,9205655
164565,1102130,2761661,3443287,10081301
160884,2095061,852593,963635,5764151
198286,1171986,1117696,2101336,1013427
139865,145524,190886,506481,11209771
110406,637114,8786200,161077,9740027
110203,1201338,873906,1771386,7986958
115274,99136,2039992,63729,12016814
113337,735043,977278,910423,9972361
115902,1173770,346623,997473,8014119
118717,71930,637183,76581,11029692
286095,682289,999844,1082623,10256490
43031,187785,3966938,55537,6737384
109171,116071,110537,780741,11954974
109384,715273,168718,75831,8095355
100304,276811,852294,899025,10974320
111024,257284,1985550,999029,7942432
113883,623629,333511,124253,10120221
136517,172766,3642885,57593,8925344
145874,678881,808816,361030,8867014
237973,107198,1038997,506992,10113571
166913,93893,268736,975852,9311855
170658,133742,198778,61656,9594694
163171,67468,3851729,143774,9120338
348796,1760043,777170,366509,9108284
163321,207741,186910,1477489,9720467
161329,617818,933246,956727,10098121
164351,231559,168285,85035,8926905
167937,98010,73205,65855,9967049
194029,1253580,1665204,362221,9083950
104495,654978,391677,442438,5055663
109809,123719,1586213,118764,1198126
109691,789485,70895,48658,13729270
116152,614738,2881936,324294,7929776
123874,431522,181951,611568,9126255
117347,90364,123566,86401,10041592
120739,473548,2696596,946377,9839433
190593,372660,1996607,399852,9007174
105646,76396,1976315,556075,9980615
160611,560055,210146,940840,9085179
155907,313226,1699368,54249,9153387
155710,1122744,127623,913043,9726833
159082,557102,879790,509205,8006863
156601,361544,99465,510494,10972124
390139,74618,887564,960343,8030856
54961,887422,90498,139575,10162636
117467,78847,142404,547184,9910162
111827,80153,767322,521561,8846613
111680,538489,170442,1341328,8139936
119634,275441,786264,588231,11010473
276124,84265,70026,95970,8882551
89398,90904,127173,324838,10950001
94006,64546,891818,669040,8051549
109682,778275,125899,862902,10994155
110791,983850,70479,64359,8310700
110257,664220,149132,49120,10634014
123987,310724,669091,331855,216646
118739,103504,76061,219902,976545
193310,899284,897731,514428,3908938
120050,2756301,96273,838817,12206534
109047,269389,895422,499963,8625031
110025,2655517,122427,390699,9088674
112133,2093013,864284,538889,9187625
117491,3006951,102940,434504,9096489
114696,2943953,870074,523587,9675565
118114,1032536,136293,517544,8983097
418444,3974623,878765,85332,9952657
119385,4182492,145024,44316,8996700
96632,1924551,222537,99698,9000062
113859,8533737,640760,839968,10076220
114415,10512905,99930,101572,9182577
127173,9822169,924085,251495,10872412
160471,8004425,96719,611050,9202232
139595,10168261,873637,109309,7638533
107798,8764515,128807,393847,9349050
111170,1067322,895553,542138,10638856
111459,983670,71552,124200,8026420
110150,3942451,906449,345311,14008303
113516,11005806,152740,89116,5163278
113700,9007207,808146,847908,11209991
148588,9160973,174363,147998,8890437
268614,9832949,860664,414120,9689060
121184,4149116,112924,79720,10036885
112014,1845819,862833,73407,11190750
114322,10994347,110067,280452,7978066
114136,8968280,886120,147573,7894771
116631,7298183,150869,397005,10018916
377056,11726328,869251,206041,11093740
58868,83554,129441,831083,190670
156508,6852430,65731,47775,5736861
155728,10146334,342840,668725,11868837
158727,9386426,289556,221334,7310324
176072,178209,82937,472725,11801131
89098,567277,121760,939453,7012359
133289,5780968,887253,109308,10995143
108061,9970640,117810,477287,7900883
108798,9096851,3313738,139023,8973552
110842,9879461,12588573,327435,12087350
110117,10056645,8235283,471349,7997062
118721,9222130,10159297,107737,10011838
114616,8853470,9605880,91332,10920872
147467,11135719,10438567,113698,7917331
77204,9735502,9598879,125363,9218043
109045,10004594,9020280,557473,10824821
108038,9019004,9318983,109813,8198283
108799,10886586,10634946,69503,10828148
109371,8221305,9025393,72273,7889688
112444,10864938,9920096,770972,9293918
113307,9238551,10105316,102487,9741426
116235,9771497,9018021,426968,9383373
141925,941080,9065104,435527,9163605
65328,172860,10895180,105286,10438194
516325,2899607,8431434,402491,8074860
120606,185989,9560216,2045577,9863227
120706,10733533,10239876,453742,8150793
250648,159119,9089428,449503,10981585
112700,7898661,1618921,2000271,7930060
120802,7914759,5979792,123649,10014251
110158,89240,9981150,2991571,9132000
111790,1327985,10106388,6920591,10183946
112737,6649536,9999691,2010459,9636258
111550,71415,8934546,2014307,10033376
111586,256219,10034380,3077645,10028237
148593,102409,9963492,2977328,11039099
332141,5584091,8989993,10331659,9138652
61272,70655,10038051,9608868,7818799
132340,5879852,9972877,8995793,10942420
135800,151584,9196944,9940737,8140987
133547,1872553,10849173,9141701,11028467
157640,3413555,8920263,12092046,8099187
136605,60530,10318237,6829537,8791107
105556,1821175,7894001,11069918,10000269
130634,2712970,10830473,7928717,8952707
130241,66656,8933810,9932907,10028209
132829,225389,9432206,9056047,9236747
132662,3647392,10559736,8979719,9746648
136696,12036208,9020109,10112193,8932542
161963,7242996,10997109,9957056,9130525
121779,10787410,9087884,11009349,8912103
110847,8913111,9987788,8572627,11018790
111173,8038614,9974468,9425311,8102982
108396,10367991,8994440,9970761,10880504
108944,8882251,10007763,10008386,9040118
110816,9793450,10020451,8903104,12202761
111237,8911673,9085059,9971831,876249
137357,9005870,10887982,8973093,1007870
68651,10044438,7971076,10020779,2076435
126059,10115089,11132465,9311256,3791755
105789,9054172,8946846,5818514,174882
106281,8871680,10009414,145414,115394
109057,8117096,9911511,196473,2766769
108553,9798204,9064020,2565303,12898934
109381,9007632,10930857,2013105,9422568
98827,9125692,11007449,956714,8581067
115250,9935509,8061141,2414458,10020210
74093,8919386,10425441,1935298,10157078
136035,10032704,763149,730246,8854416
127828,9179146,950253,876376,10977376
128846,9764972,3309130,344337,8058585
131583,9235079,13612524,1287802,11104965
131248,9857393,6877214,412926,8885297
133966,8953907,12044773,1707878,9925696
134029,10371128,7962742,145837,11092940
315450,9640872,12118194,117923,7967419
124791,9982140,7920739,1194637,9905990
88689,9328819,8958091,328084,11054684
112049,2061972,10936083,491695,7106037
109820,6706315,8203921,253053,10875193
112452,9896600,10808748,326820,9105084
305023,9070026,9300226,293889,8858961
52688,9266111,9699721,1062184,11108499
80064,11851751,9964954,160369,7987821
132452,3027385,10093140,922609,9998761
251192,1963292,10000995,993132,9955681
48188,12764354,8929230,880692,7989061
