Column,CPU Low (ns),CPU Medium (ns),CPU High (ns),CPU Medium & Memory Intensity (ns),CPU High & Memory Intensity (ns)
mean,9908979.4302,9943608.8382,9949172.186082548,9948757.2721,10046947.2064
std,5434930.511618173,5410534.8359670425,5378254.172728452,5414728.817951342,5510923.327464615
min,-355646.0,-380976.0,343088.0,-62678.0,-259518.0
max,74309613.0,76043452.0,74004249.0,74983360.0,75120893.0
