Column,CPU Low (ns),CPU Medium (ns),CPU High (ns),CPU Medium & Memory Intensity (ns),CPU High & Memory Intensity (ns)
mean,1269.0810162032406,1228.663799139742,1171.3173952185655,1193.4076407640764,2115.0206041208244
std,568.1804410928061,569.9683897309382,507.10007585936927,616.042900885318,1768.7460478236817
min,1122.0,1122.0,1123.0,1110.0,1417.0
max,21564.0,18447.0,16493.0,22890.0,59457.0
