CPU Low (ns),CPU Medium (ns),CPU High (ns),CPU Medium & Memory Intensity (ns),CPU High & Memory Intensity (ns)
11119324,165363,10106965,10101289,10125396
6268275,158434,8965790,9929651,8898977
29783041,227930,9972397,9037763,9924799
15743470,209525,10938418,8344437,9160592
6116790,186858,8938610,9560781,876601
11992094,232105,10021381,10025520,5124972
9030980,334390,9060469,7985553,13876214
9888371,245016,10030784,9991156,6014273
10006633,188301,9932572,9157906,9316971
9084251,181124,8914333,10910459,11016377
9975921,186336,10984773,7109352,7614519
9894393,206110,8158634,9888447,9056700
10069157,200345,9968809,9909907,10956738
8891094,180886,8889648,10048463,8042681
10090818,187151,8991205,8021900,9037199
9931202,192651,10929179,9994277,9938426
9062845,225322,10164871,10003983,8978997
10879767,220000,8916131,8951587,8981215
7972529,187686,9942563,11008702,10124549
12020518,183726,163414,9011775,8850078
8039609,183555,2963321,9045310,8949562
10017722,219089,963181,9989903,10072320
9900955,220014,923639,8916434,8155828
9071935,98159,12084505,10998150,10779404
11012308,186766,7915767,8123711,9130827
9062499,192845,11889522,10983753,7979760
9848709,224331,8053654,9254602,10099114
8986524,158175,11073833,9907272,9881214
11150734,176992,8937371,9761630,9015505
9068639,187255,9936377,9257825,8981044
737360,188755,9226189,11739257,10074521
681947,192725,10790567,9107055,8883184
3306933,134284,8942865,8149716,8959067
15141949,221015,10148247,10691473,9084580
5941684,183285,8967664,9197706,9934496
11904083,184528,11023814,10828354,7904128
8099975,195246,8852023,10110542,11122647
11022678,223986,8932093,7027871,7976702
186886,214567,11195084,11829638,9985879
1024595,179506,8803079,7550293,10963595
3013752,187732,10053896,10529163,6923320
14608623,188264,9063335,9470361,10105169
7147319,225912,10886073,8843075,8941195
10825675,213413,9136249,9763860,7725106
10148005,183824,9785171,9317417,12316005
7954137,178886,9219567,9061484,7032768
11083131,186244,10907878,9453982,10963581
9904905,221083,9037299,8978065,6929034
8905845,215454,9951131,10022410,11019725
11075024,182865,9828858,8484056,9028163
6887654,182120,9152095,178833,8935946
12111774,163971,9959730,6575691,9104691
9036081,195802,8959583,12193332,9864203
9837935,224472,12163737,7607753,9060741
8887223,158285,7808115,10070739,9204777
11079129,159326,9151188,8962926,9807838
11022661,162952,11824801,9873746,8150588
6995948,163485,7974207,8012038,9761635
10945077,380830,10060054,9992942,9936446
8165761,181532,10047364,9992175,8082701
10720067,144067,9991042,8979761,9974732
7208110,145740,10115977,9147040,9084828
11978455,148697,8856542,9876765,8913285
6824079,169741,10881820,9036031,10075793
11105232,117100,8119106,10041455,8956575
8946490,141941,10979304,9964827,9213962
8991278,141030,9020631,8138262,9720007
11072426,140560,10069219,10867147,8211113
9034169,142356,10801977,7053896,9731271
9932107,145922,8136649,9252293,10060978
9937383,106022,9854313,9604952,8022340
10246497,172905,11027868,9407724,10001640
8774612,138086,10008634,8833631,8938101
9990068,143006,8090936,9844183,10078810
9076797,144920,9931770,8916666,9122898
10812638,146476,10025408,10050950,8833459
8331798,144905,10098246,7938188,8909986
9704948,97389,8810903,10139031,10084626
10162778,187522,9873534,9193504,9048033
7830142,143582,10021742,9003962,8982510
9920247,152519,8978940,9715867,9004647
10103676,145500,9782676,9113765,10837160
10136759,172410,12305380,9910758,7005464
9900561,204632,7051653,8168967,10044684
8045002,244767,10809880,10783918,9950463
10765847,173876,10098687,7952736,8019576
11016025,175578,8938166,2081780,9998863
7292917,180390,9035903,5977037,8247946
10797218,215248,9013717,10985933,9724295
10977382,256096,11005940,8590419,9391123
8236504,169587,8117917,9916277,8750924
10772564,200964,10722605,9088753,9826362
