Column,CPU Low (ns),CPU Medium (ns),CPU High (ns),CPUI Medium & Memory Intensity (ns),CPU High & Memory Intensity (ns)
mean,1508.2170217021703,2394.9496849054717,1178.411023306992,1681.004600920184,2359.4653930786158
std,775.3958443129732,1693.9608793615612,549.812172144192,853.9550743643616,2000.0305928727903
min,1130.0,1416.0,1122.0,1121.0,1440.0
max,23546.0,73164.0,20060.0,37757.0,115781.0
