Column,CPU Low (ns),CPU Medium (ns),CPU High (ns),CPU Medium & Memory Intensity (ns),CPU High & Memory Intensity (ns)
mean,2007779.8226,4991481.5345,8856541.4429,1668831.6084,8014241.1857
std,3744208.6659830045,4741705.702092355,2776829.559353125,2457388.1146870926,3696179.50518834
min,35081.0,40001.0,49393.0,41151.0,54162.0
max,29448960.0,29950629.0,29844201.0,14874557.0,29707588.0
