Column,CPU Low (ns),CPU Medium (ns),CPU High (ns),CPU Medium & Memory Intensity (ns),CPU High & Memory Intensity (ns)
mean,8996269.453,2469216.9419,9159246.2388,9108398.3747,9146143.2978
std,2714802.3523070645,4106598.671832057,2234027.9624843993,2411580.7011840264,2538957.983211832
min,58980.0,35148.0,37551.0,53065.0,61798.0
max,37054493.0,28883344.0,31055095.0,30718400.0,43581001.0
