CPU Low (ns)	CPU Medium (ns)	CPU High (ns)	CPU Medium & Memory Intensity (ns)	CPU High & Memory Intensity (ns)
8220826	9501058	10297314	10519469	8961671
11084071	10529441	9650639	9060798	10027526
7021823	7037839	9550367	10057193	9245121
13058800	10817495	8828588	9396515	9824348
6972261	8097788	10036145	8971567	8986786
10925908	10860086	7524161	9548342	9961129
7057218	8138743	11083412	9529825	9995121
10992174	9966903	8405309	9481835	8104049
8027535	9059417	9547522	9495217	10863329
9869830	9050234	9065428	9500311	8065394
9130922	8805458	9357436	8414843	10179407
9880854	11014041	9607459	9658094	7902992
8955777	8023140	8994459	9962273	10879727
8053948	8105099	9373211	8430280	10135908
9954053	11923208	9617333	9530659	8997292
9097181	8038834	7992872	11501461	8871365
8972285	9011710	11047778	8966309	11179843
9967082	10015551	7088611	9580075	50859642
9060578	10042727	10822346	9423697	9921341
8981968	6786408	8432212	9997883	8918480
9698786	11182245	9550027	9979351	9011302
8283324	10019107	9057391	8864439	9055780
10031791	7878368	9419787	10769522	11018173
8990594	10161899	9542876	9442665	8052448
9671363	8788795	9450497	8925748	9929387
9242338	10196925	8667006	9021099	10067041
8038522	7850577	9066850	10032355	7934193
11026767	9997221	10825203	8980035	11124397
8120261	9094812	7963162	8992389	10005283
9838155	10025732	9094766	10010624	7938514
8841470	7836090	10976509	9487052	12100058
10203415	11118658	7927374	9513365	7969340
7811846	9051578	9516473	12112855	10023031
10375306	7969012	8957872	6406745	11052179
8806544	10977134	10037169	11531968	8901727
9253861	8046402	7467886	8592462	8929396
9740640	9895171	10983671	9427296	10070652
9017198	9940051	8318048	9991440	8833159
9250766	8025252	10139324	8930190	9054112
9712984	10011307	9651086	9569972	9918268
7966798	8985243	8993656	9400434	9157186
11085884	8994213	8991505	9041634	9988587
8106191	10079086	9050766	9741774	8996223
10951975	9112447	12336044	9025796	8865852
7607571	8985197	5064006	10212267	10328089
9303377	8837788	10479666	8998386	8809517
9235914	10331711	8458594	10005171	9908912
10708985	9837233	9986728	9009792	9063791
9119708	8896391	9661479	8989700	10082958
9952284	8888326	8332636	9572046	9808399
10008683	9146765	10082278	9024508	10349498
9681001	9848849	8911434	9930016	8866019
9316362	9152805	8702557	9514382	8878508
8671956	8993085	9930259	9554012	11975426
10980872	9875090	9390862	9417499	7045603
9450097	8049423	9632899	8937828	11030684
9935286	9958126	8326976	8970889	8027160
8945045	10084954	9649162	10063675	11064139
9940120	8006344	9399689	9036384	7829708
9877486	9871760	9649708	10574691	10114861
10193744	10017967	9944882	9054605	9931755
8735655	9232215	8194501	9917545	8185884
11333745	9022942	11172291	63033716	9746073
6719117	9765627	8596614	4986898	9085728
11001241	9129952	11489024	1046048	9020372
8104926	8913185	7950030	9080778	9943337
10059865	8948350	11030824	13888840	9966288
8048640	10125150	8973368	5406492	8028046
10722829	8888051	9979863	10553936	10117067
8282265	9024841	9628680	8958927	10967225
9930077	9934792	9386756	9509876	7907694
8028897	9023747	9604591	10563922	10073486
11009181	9164801	9975287	8451722	10965945
8124698	8829826	8425514	9617447	8062671
9856049	11171266	10551791	9294579	10918482
8960541	6936926	9041310	9012346	8993574
11202584	10954057	9929989	3623416	8982033
6878233	7974583	10205493	3950263	10030992
9983548	9958293	8323859	10961060	7931985
8339027	10045914	10473547	10083983	10124111
12383684	59964209	8461471	9385042	9009975
63320289	9150187	65178221	10081571	9928954
7887561	9861971	5913251	8672320	9949280
11104508	10083348	8740560	10254121	8953143
9034086	7885213	10790058	9514155	10048539
9937423	10229621	8371692	9000815	8974832
9998124	9069112	11031399	10056731	8037926
9113441	8917372	8992038	8468885	12274942
10860730	10004553	9994271	9576702	8722570
8990719	8945349	9602566	9361311	9044551
9043154	8885761	9431007	9623382	10923525
11094626	10180839	9968345	9411915	9003826
8906169	8035194	8960792	9004213	8977168
10066599	13845087	12747937	10542923	10034082
9903940	3969912	7908980	8481779	8983794
9124373	11109786	9994305	8983663	10000762
9957441	9964712	8369176	10041470	9046994
9959895	6936515	10554389	9441610	10024964
9954029	10943190	10503693	9079032	8062226
8996298	9073955	10092515	9981673	10214704
10993218	8997320	9542690	9491046	9762313
8159687	9882363	9351741	10492292	8900943
10964170	8189081	9530164	9018339	9966115
8909980	9822847	9424844	10030587	9048200
11078609	9259286	9018614	8418879	8983196
7938660	8849637	10014030	10003473	10021914
9932407	9887150	9010471	10579215	9004414
10002544	9117954	9563382	7940259	62967885
11005057	9019042	9031633	11162628	7924141
9050034	9876019	9356382	7341497	11173184
8723151	10119677	9044989	12107455	8947670
9413957	7064057	9633842	7938304	9953353
11830911	12015066	9969826	7916824	8151226
9053347	6788904	8969027	9968022	9779865
8977001	11268950	9067269	9999027	10050872
11055390	7857694	10958569	8994737	8044875
8076482	9905896	6365443	8611674	11945575
8961770	9110176	9849049	10423150	6962224
9960204	8863498	9708309	8549225	9994076
9085606	10157638	10016410	9482547	9349482
9935834	8941603	8231063	9925029	8959299
8942913	9114532	9821435	9536180	9780131
10062538	8951037	8919069	9543095	8995331
9880182	10060929	9083705	9954211	11060336
8062633	8938902	9993958	9968330	9009664
11003400	9018806	8435293	9044061	8032512
9008878	10031826	9941819	10037183	12968850
10085657	8867973	7963235	9986848	7906384
9849029	9924149	11635993	9964003	10183590
9118958	9081000	9422877	7719921	8844562
9821158	9938566	9001521	11786553	9969821
10061870	8970372	9626842	8125252	8950776
9028031	9240970	9013640	11419813	10001790
10067606	8950594	9432611	7562337	10023262
8932784	8890683	8915842	8946594	8003176
10071662	10225010	3629544	12558808	10052343
8954623	8773523	3991382	5901137	10148168
9965856	9093334	9379298	10988861	8030500
8967109	9969541	9964593	8602840	10740800
8996664	9026852	9048459	9361762	8028075
9019856	9106817	9611765	10049833	10019829
10054461	9096461	8971243	9544866	9046918
8971922	9620802	9451002	10465703	9891351
8159788	9177531	8922760	8955254	10041819
10825054	9010184	9724856	9610699	9048342
7996925	8970313	10307416	9943454	8953107
9024065	10109473	8072829	9012404	10145170
10029206	8960935	9981469	10026738	9890932
8997050	9811116	9520981	9000620	10019449
11711885	8057191	9966221	9025785	8929071
8334095	10113099	9481456	9445941	9254140
9984814	8875666	9982817	8919367	9739677
8905413	9994432	9625022	10023524	10115627
8995554	9000478	9305896	8632226	8930015
10009878	9070004	10825881	63209471	8935943
9049480	9028687	8810100	7131996	10303593
9759442	9823482	9350504	12019813	8060066
9264126	9169623	11092173	7984745	10730145
8879768	10035536	8523756	10025189	8950870
10009442	7951981	10010861	9528474	9055384
8753237	10931662	9499390	9501835	11104436
9353600	7986377	9481556	9548971	7831399
8912082	9220374	9451976	9469867	9035059
9061601	7835122	8829708	9478675	10049384
10019651	13991013	9133960	10051220	8340909
8930736	4920680	9576868	8399697	10578979
10070437	11028140	10034604	9720847	10045057
1676636	8933085	9054611	10351255	8934760
6333812	10031490	9424682	8995548	10990756
8934368	7953076	8980491	10090192	8063615
8051815	10085321	9604864	8958445	10960228
12900643	8996163	8938485	9944572	8207851
59095602	62286967	9473212	8963145	10818191
8985062	6889805	50711226	9631801	7993296
9942228	10808192	9209042	8995615	10027234
8044087	9142667	9613261	9943919	10020670
9963722	9101610	9023630	9501069	7951723
9978079	9703570	10404267	10466535	10969807
11158682	8096690	9044196	9166519	8231507
8943738	10034717	8476028	9939249	9793339
9969938	9047055	9045271	8962557	9964177
8922971	8883131	9999680	8968386	8305721
10113747	9075081	9471014	10442122	10745495
8895284	9928271	9015477	8994270	10256743
10186986	9058128	8935177	9567526	9752900
9823700	7093482	9032536	8924772	8058578
9033027	15773045	10526533	9500343	9957947
9955270	4195026	9406010	8956719	10202389
8036750	10927054	9667477	10681279	8851009
10927455	8904330	9198951	9100117	10001084
7050022	9059086	11199076	9263920	11962216
12076390	9032291	8548967	8757776	6063381
