CPU Low Jitter (ns)	CPU Medium Jitter (ns)	CPU High Jitter (ns)	CPU Medium & Memory Intensity(ns)	CPU High & Memory Intensity(ns)
9194343	109916	8146510	7156847	10934745
10832252	138613	8856675	11793773	1996102
8144730	138140	9185549	9884766	4145759
10881263	108441	10037583	8034844	11027725
10133833	108608	9040988	10205086	8902521
8879742	109432	5835696	9881239	3992384
160964	111019	1051450	9888083	2841445
197802	111607	10924693	7978635	12191799
4567819	111318	9054775	10141131	7876097
13930431	138830	9205791	9099856	178739
7023638	78261	9666029	9754711	5708570
9937858	578980	8961388	11022836	11089201
11239535	117748	8956301	8027138	457802
514819	119183	9604517	9303106	7755714
4178837	146562	9440582	9687428	10078281
14088229	131687	8946192	9041257	9752943
8048906	100417	8050884	8985597	9004386
7869725	141053	24989850	10025275	9870445
12120921	118503	4483123	8956477	8995395
7916185	118598	10544079	8986724	8903315
10330590	107901	9058273	8985556	8954710
9589927	162695	9348114	8964099	9135128
7156948	181460	9587034	9371705	9991354
13884367	256382	7981136	9581386	9927315
7104187	137748	9986058	9204956	8068501
9955727	109775	9111112	9836755	8898155
9902768	116416	181204	9037120	11074937
9058866	129399	7788034	9941037	8105136
10013699	146904	182110	7955107	9785101
10980670	221540	3664343	9136672	10134343
7919629	62435	189284	9956512	7938049
10949191	125092	817718	8985053	7043179
8962877	109008	12056638	9900485	11892793
10067049	113803	9055350	7994266	4353024
8959349	110840	8887178	11053366	1839555
9079257	112338	9173154	7991357	8713801
10013449	146940	9897313	9449411	6931463
8893479	63586	8896555	9582981	481962
9110688	106015	10119269	8963623	10357494
9969104	106207	8029348	9009880	6162519
7988847	111309	9996687	9422581	2131438
10014193	109560	9370038	8767412	9305357
9951040	109294	9496756	9853036	15056237
8968854	109126	8946661	9383784	4562160
9031002	8588502	9127081	8995257	5107780
10005922	10777589	9881619	9497707	1840152
7929395	9903624	8439199	9068725	10954505
11041084	8373363	9566429	9408388	11158477
8052916	10634120	10030564	9586766	7887458
10993840	9228668	8009852	9004095	8963316
8842888	9801347	9972846	9016095	9142466
9928666	8122960	9268033	9933350	860978
10042062	10319192	8986739	8596724	8148130
8001360	8607615	10700991	9834890	8943795
9962512	9164503	9006378	9610804	10026746
9071810	9057100	9337464	9186974	7903409
10121074	9721470	10667192	9748462	11104558
9049565	9236290	9005409	8524434	7798336
10827285	9774984	10041013	9637533	3179513
8078804	9224007	10003345	9293109	3808427
10906504	9724311	9138250	9616436	12043135
9073112	9946338	10213632	8992015	8988385
9835638	9029843	10605333	9250528	7937949
9052915	10989983	8167670	9678474	10135030
11041154	8990137	11164835	8560620	8868395
7869684	9124837	9728361	11611201	9046848
10135872	10897386	7896962	7914044	8882103
9007567	5028363	11010298	10066319	10055317
8905768	2018077	9033634	8940827	9983763
10110847	11231093	9981849	10987566	8865197
8263899	9156850	8043394	7998504	8212322
10653794	10619556	10915893	12204327	9905053
7949863	8985943	8092606	6786689	8925699
10949364	8940114	10009836	11992881	10025437
9979785	9463181	8893354	8001578	10064590
8984510	8839036	9029375	9961300	6948080
8942133	325608	10015107	9145373	13279886
10273193	6586990	8154821	9822384	8716717
9763240	960542	9814752	67807	4966012
9077922	9888441	105230	3946855	260093
9899480	8071122	7953272	323126	1843221
9032989	856139	9966770	287084	5875616
9034351	7169917	8963591	11358273	3138158
9028579	10088574	10027411	9020492	3944448
10993548	9741109	8165887	9064273	3964363
6937273	7409660	10777684	9131933	3006153
11043420	12667167	9029722	9789643	3214051
9157500	6996469	12060476	9008642	715219
9902380	9454524	7955506	9051950	3900164
8847807	9713550	9014621	10006705	4141420
9941345	9839027	10989040	8067556	7022918
10031381	8912853	9002619	10222227	3880493
8988880	10049797	9955042	9949505	3127745
10029217	9039552	9430591	9830459	213572
10978765	9994442	9827330	8122706	9638581
6934443	9932720	9728918	9742890	4075537
9130939	9008572	10061740	10035981	1829195
11055920	10089894	9156307	10094710	14274430
7757480	10948197	9864106	8998964	932108
9170988	10149863	8996261	8882526	2883011
9838854	8900488	9053830	9247191	11978586
9089134	9925281	9892308	8953688	311997
11113557	7970960	9015706	9803492	849539
7986726	9974475	10045798	8988692	4040938
9869986	10113638	9326080	10001104	290137
10014575	8045069	9671656	10060140	11482914
8867173	10886692	1329971	8901174	7939611
9066735	8182882	6576964	10253426	9290444
10059781	9750840	13057418	10785190	9815911
9053000	8977997	6020701	7939764	8931321
10895488	9506301	10061121	10215340	9781789
9932311	9605070	8965611	9784176	6072528
9090841	8927353	10256956	9052788	2223783
1636242	10075041	8806208	8995715	6748337
3673013	9198353	9867685	9984596	2291062
13861624	8900386	9012739	7967854	1725949
6886056	4895577	8544688	11010394	265656
9935195	2957159	11439969	8288874	1625978
7948919	10978368	8000915	10687123	12210143
11964908	10002962	10976967	9207942	7947474
7017327	9230066	9061304	8823367	2231383
10121467	9939726	9948121	9239301	4628024
10792021	10162328	9236108	11743707	11102216
8005932	9621066	10805195	6973959	8899427
10964345	9010407	7944397	9912823	10129109
9011138	11151712	10032273	10012364	8965189
10194005	5258035	8967520	9227210	9019841
8872504	105968	4070781	9811550	9886407
9052688	101649	976571	7910993	9301952
9955380	163334	6216952	11101791	304628
8010367	255883	115867	8123101	7314314
12157443	113465	2634101	11836043	10246728
7790682	108796	84213	6970150	9778047
11122751	158305	882899	9994256	2055111
8966370	457603	181470	9946103	1886270
9861231	74510	6892644	9056856	10775916
9938397	152924	7919301	11914644	11158952
9927464	107213	134672	7010140	9236233
9062263	107983	5774767	13144567	9837478
10001110	108470	2037949	6900819	9856799
9065318	108656	2060058	10905998	5331224
11031017	168086	1927655	9073505	5965548
8039373	113576	4007423	9079913	2783108
9961311	266011	989926	11972608	2103341
8967473	343605	283710	7952413	2051894
9090152	139613	1220274	9950763	761221
9798468	138607	4662924	9081767	339677
8968885	133887	831110	8905665	4850025
9998371	129197	3065673	9972876	3774770
10053550	194829	2059534	8982913	9948467
8923285	168538	242404	10041058	184866
10950037	154447	519768	9026850	9786819
8026701	154384	1991728	10006425	9148239
10035455	152329	214198	8166282	10000989
9892594	174654	830008	10721887	8947078
10132787	178069	1632003	8015085	7075323
9100971	142231	396404	10995141	11921396
10830815	136953	1003286	9041000	7812160
7899881	401224	115410	9058543	1123095
12230920	113628	928461	8933288	631653
7876550	193524	846462	10034440	4325097
10048995	144926	125084	9009227	11930966
9896532	144819	118850	9136764	7161529
9908841	186147	260835	9784556	10951206
9113927	444783	88641	8034137	8916893
1935587	185595	1746166	11036883	9909992
509452	152532	153866	7987721	8033353
1911674	145025	1465103	10016648	11010222
672063	141193	981222	8018866	6991275
452190	182797	156319	4905220	11002532
9432181	121077	256291	3072116	7913780
1442442	171049	1655699	10980171	10189517
3576225	232012	494757	8387664	10024072
1118542	175862	1467803	9660337	7873728
10839652	147228	104107	9076031	8915477
9937778	194443	884276	7823744	10961990
9097908	228246	557974	24189233	8181362
8795041	153221	527548	5772041	930623
9033158	164402	1042274	9060751	5892414
10134160	154097	367979	334922	11989208
10100525	150833	121484	203921	7254538
7773403	138057	376847	5364007	4809358
12103882	324701	487009	12054607	2013187
8131479	156113	1525834	8035510	12381627
9704586	218468	422392	9288467	6774105
10055079	252295	144269	9700806	11087672
8100735	89929	444099	8947469	10909644
11978090	147847	445819	9053563	5818365
7889180	148608	108644	10990516	2272174
11000694	181513	421949	8034956	7926445
8959111	342396	650817	11008316	1903037
10045683	255529	601325	8108226	5047911
8996256	164247	220243	8876467	12679807
12013456	166440	77558	11026979	7101638
6960563	168754	391758	7370077	3252297
11058485	162463	207356	10519451	2852094
4917107	411458	963841	9021348	12931943
942154	61568	338255	10101014	7172301
12188367	161773	428316	9854801	6741013
8861733	161815	629588	9005439	7865461
8979992	164015	521846	11015135	1100822
9979968	285923	426783	9066691	5171034
8878990	155247	150412	9351225	5047131
9138117	153846	314042	9549166	9928062
10963321	179080	458039	9309848	9894436
7216412	175075	996615	9728985	873534
10796473	241043	505474	10038974	5996539
9955024	212607	551773	7961638	10102012
9044140	170851	182417	9966510	8951929
8886542	169841	838337	9212648	8999037
9000983	188987	708705	9189466	9984208
11117717	206206	243588	9647015	8936818
333959	94688	152058	10060551	10191378
740674	169915	269626	8088127	9007736
3106692	170573	675669	9840170	8934255
12805672	177101	964688	10047209	8078743
6871404	177467	940430	7943320	27829270
10958148	215477	785597	10155218	11949952
8965653	236767	265627	8868664	8001921
10221966	185033	391722	9070284	284948
9742005	168700	580636	9926247	1972676
10130207	176494	1496282	7967671	4704766
6928938	211960	304604	10052051	1056062
29042701	239654	280778	9355312	165808
14148530	182835	354139	8857468	697264
6729103	176557	437942	10739118	4087036
10992881	181608	150187	7955502	285977
9011048	209888	986910	9980796	101833
7963205	88736	988559	9102840	9740691
11011227	171471	1496273	9237679	818554
9165270	167799	105276	9660038	250079
9092386	177682	400249	9096749	3784915
9755616	165116	383730	9983108	13656321
9098635	216375	556027	9140415	4194491
9894498	197515	1433579	10169580	8503522
9241923	164327	418939	9731310	14702923
9806196	173764	600535	9878638	5905345
8997024	179342	297759	9180968	3138077
10074726	175732	322810	9061756	4815138
9977864	156886	1419194	9719323	6341275
8797551	180452	1002907	8992922	1811637
8981319	178972	940551	9050432	10925475
9116649	81158	622738	9383026	2045803
11123444	146055	352674	9639112	3809269
7799342	191104	3008045	9314594	137100
12037969	210706	69443	9627789	9046740
7149054	200110	962368	8367466	12073091
9890323	173372	951274	10671813	143743
10057145	176387	546576	9016932	6551747
8945808	180478	74057	8172069	11393196
9893107	200886	1905721	10765945	6625348
9115569	88634	60607	9983955	8055796
10063938	164755	1452975	9005521	15057786
9730250	171585	235874	9969728	847074
10180655	174608	797970	10101648	267939
8904349	179505	114649	9989264	98198
9949788	208198	399283	9069570	2075491
10100300	93084	1376765	9049686	942102
9854988	167902	92056	10792984	2532286
9992879	178466	1924464	9117735	265679
8997148	193076	298880	9927724	1668297
10015961	174955	170810	9942287	7049088
9103417	206324	136536	8070237	127321
9975917	231762	817074	9937359	10950742
10976755	177804	547912	9576764	9201329
7918407	172525	85717	9476291	2031405
227061	179283	913234	9032312	604498
8795615	193058	395702	917944	2076129
10983238	255496	1625068	7350808	12142810
8032363	93347	977424	9673149	1050358
9930046	182908	216016	9046555	4722977
9125967	185807	830128	8980454	1015230
8922449	180302	2072736	9058378	126436
11022176	146809	389706	8063652	551877
8847398	212845	1560410	12834528	4370247
9044170	162857	172183	7013001	12892469
9026060	180628	1730343	9190733	7036296
10041631	189524	211999	9798767	9972706
8997359	205764	1789256	8942462	9333968
8935753	87961	114659	10067648	9745278
9948114	168168	170126	8020898	7947103
9970325	171584	2719713	10077083	11104044
2096207	176767	7317229	11872817	7916298
3970539	174889	1716486	7100681	8952490
11930409	213431	108865	12007784	10007150
8957433	241470	4838199	5935224	9097179
10054145	170864	216503	12908072	9801898
9003011	251477	1896491	5275627	9047318
9964628	3138662	2934497	10752668	9247961
9005215	11258995	906847	8180085	8869334
9878272	11984736	4107790	9917704	9895974
8244842	7187210	857874	9866039	9075215
10794223	12856164	1150115	10065205	6864736
8042933	6958240	1214849	9128464	12083101
13976377	11063741	2662431	10178493	7850204
3954017	8918787	1070037	9713685	10107646
96641	10232117	114734	9434889	8854551
8973506	10308020	10151090	9730995	9971092
11141064	7772214	77979	10062168	8310384
7919712	10951027	1540133	9729967	10709233
337275	9670273	156810	9156097	8070419
7528096	8191611	365847	9818337	8969206
10000758	9933896	12546725	9286950	11464830
10009125	8887102	7956931	12779837	7451480
7975080	9115057	9964432	7096589	9177531
163701	10147394	9087640	10098160	10909745
7856906	7773839	8940938	8833188	8003214
11103705	8425202	10064251	10013950	9004017
7833418	11551581	8933514	9949896	10029492
10028554	8990443	10001698	9239038	9025253
959715	8942654	9069564	11932716	8894052
7309409	2972053	10804308	7817583	9932171
9914333	4986439	8078981	9991109	10079434
10063391	10137919	11087150	9983758	6949074
7710745	8896628	9901501	8932090	10975651
1142674	10055629	8948630	10057737	8091368
7939223	9930399	10370151	8966570	10007384
10019065	10077679	10943663	9094081	7862780
11124639	8924140	8726089	9957656	10949931
7801473	10066149	8923073	8928426	8047081
10889549	9939881	10048106	9092839	9179675
9145391	9985742	10036240	9110295	10005871
1107295	8963784	7986336	9783287	7809520
5040640	10022188	10149382	8118751	243815
29850012	9052673	9223251	10995923	8837040
12787677	9865634	8576133	7894826	8929001
8065217	23041751	10022637	10057339	10212030
10026109	4099462	9004624	9898688	9828656
9003164	909211	10021512	8169274	7986905
9913435	74221	10284648	9863352	10018044
11121990	75885	9709088	7994670	8973036
8928623	164524	8240117	9975738	9988393
10031379	153581	9729307	8038303	7947058
8918061	149153	9982258	10882811	10928540
10975055	159855	9015212	8046958	7957155
7925459	116523	8911936	9177408	10280909
11224266	215098	10130295	9808782	10113290
8819802	154496	241628	9288357	6895216
8961606	154230	344435	9750350	11704591
9128735	156576	4280200	7930697	7198462
10089899	155043	12025508	10334147	11020208
8894705	274631	8020744	8756029	7796376
9965186	165847	8919483	9949804	10090949
9989624	166550	10015738	9981565	8931786
9111521	184067	10025396	8038461	1047173
10173220	177594	5362748	11033443	6055622
9632804	217757	1699103	7908819	10977297
9934198	202197	10882003	9973981	9047430
9143840	169150	9110512	8984056	8877222
9004431	169817	8911595	9074305	2087704
9890217	172210	10018294	9139889	4974792
9076459	216637	9024055	9891235	11980270
9971543	90511	9053651	8980475	157143
9039002	176097	9030247	8940595	5956460
9932577	171304	9912022	9368855	230147
8163975	169045	21124167	9618370	244636
10098477	148469	7911213	8964350	5298438
9741874	190257	9995232	9082344	178835
9009140	302992	9220581	9896794	10801879
9042745	251715	9776368	10161409	7995664
10056347	172440	8914781	7820522	10049159
9842973	372092	9031576	8983419	213252
9956556	222438	9963177	10964751	7696775
9119631	176078	8274980	7134456	10160456
9872348	184977	10792549	6061973	193424
9145972	178583	8024876	1898535	963477
10938129	299897	10028875	11163964	3723929
8892742	168512	8134209	8760115	11412176
10950215	167406	9879410	8077746	8504129
8049847	175021	9857525	11016562	10097415
11027270	182304	9028610	6712089	9929593
9195925	202624	9102005	13178592	6238383
9672818	180425	10910779	7102644	11861706
9040593	164813	10162423	11010214	7940219
11018149	166820	6844096	6895198	12016848
9038689	182568	9203049	10998880	6950272
9900912	209602	11880513	8013264	9943654
9039933	119634	6353490	10013489	9031690
10151445	203227	10504028	8903088	10017562
10003028	172568	8130689	9033646	8977661
9809115	232914	9982346	351403	10204868
10096600	192587	9269685	342838	7749899
9046736	154871	9625304	5325269	9228887
9891351	198828	9037810	12018837	9949891
9927193	171289	8954274	8022339	11092581
9968459	157496	8981443	9050318	6684933
9025551	120057	10065342	9088566	11215164
9980654	118045	8966861	9821733	8097456
9960815	146033	8976069	8982097	8978938
9024492	159044	10005887	8949223	11719947
10976359	170083	8185152	9990112	6051484
8958344	173648	11924644	8999833	11297750
11079637	156916	6895622	9198413	8619847
7967725	174989	10002104	10825247	9057529
10076131	198470	9084656	9049531	8939092
9944996	131322	10921776	10066162	10080127
9961172	123267	8079724	9006117	8954986
10093033	115067	8220555	10869062	8991410
10004000	114525	9869718	9029940	9193229
8818425	118113	9069853	9950870	9861315
10078984	118673	9768505	9040650	8933545
8997836	119018	8962908	10983491	9955947
10088444	280446	8962418	8974497	464997
9925103	37991	9416142	9147758	648825
10120271	114956	9154067	9971860	3270486
8928415	114159	9484078	8940630	12552449
10819756	114311	9100583	8974062	8131041
9021940	122090	9817807	9257693	9320346
8926043	177271	8200338	10008951	9655317
11153201	155965	10025530	9738023	9036127
8997591	132170	9805540	9909299	8917248
299153	106311	7947465	9008382	9971924
754523	109964	12100046	8287416	119845
4833551	112061	6970902	12822633	6782285
12944686	112804	9998809	8868287	10043997
8022151	126154	10317837	10119847	4239891
9927887	129400	8729945	8960336	2851420
8440635	158171	9971199	9008580	11091547
12632781	133543	7954650	9941418	9852373
8101767	110951	11372421	7993979	8117136
10960252	110388	8565535	10954442	9851341
7992849	112247	10208945	9014443	8015815
11969238	124040	9836724	9049517	1124204
7956835	121354	10000184	9255202	7940135
10006389	117765	9032603	9732512	8120092
9902445	147111	9072689	9609668	11071661
7976721	136641	10815710	8377647	8956863
12119403	109020	8990006	9537969	8799171
5926819	111431	9438543	9455697	8934498
12096143	114153	10615211	8956616	8128322
7858868	108480	8947265	9486552	11978977
10094548	115863	10037043	9548842	7916367
7924810	119241	10019034	8923165	9905113
9915206	145290	8346031	10019462	9009740
9078564	79645	9693994	9181902	8972881
9891768	110450	10049333	9781355	10002362
9040427	116449	8942730	8146222	9021892
10131622	120970	9883273	9988655	8966427
1113349	116114	8142684	9430746	9067494
6888434	116986	10110119	9415343	10094180
903067	105098	10079966	8312928	8830443
187694	119474	8060665	10701575	9979924
286001	379284	9686881	7990931	8121011
3476893	121347	8948764	10968094	11015022
272688	118500	9477482	8019975	7913546
618771	115774	8842014	10028991	10044681
9952937	113964	9650676	8971587	7854839
9074392	122133	9984460	9984227	9148432
8936071	214011	8089981	8026890	9831199
11096582	82662	10124561	9989317	11557720
8946021	110239	7908801	9935543	6554388
10076019	110496	11207624	8027524	9849642
9918441	111975	7768782	11023084	9142846
8932404	120582	9913342	9994957	8877662
11157264	116827	9168023	7049817	11095179
8869610	125631	9832845	10130299	6906101
10102817	149649	8061975	9849319	12067186
9946156	137079	10230412	7898036	8395391
8949796	109694	8775467	9341424	1509886
10930130	112827	9901459	9770744	6103767
8117936	112315	8962922	8910494	9863148
11055249	112392	9104812	9194272	7920244
8854143	194915	9919031	9755598	105551
10029443	217179	8370328	3237458	274813
8969928	180922	9929680	3772973	5845648
10992325	110517	9805194	11005280	166716
10003840	107622	8885486	8194544	570029
9054786	115283	9059023	9989077	8141343
8817584	108146	9007296	9798262	9265480
9273078	111654	9962264	7290672	9615429
10824476	112720	10048231	25717041	9058672
7985336	172047	9091751	2968844	9204046
9994009	507444	7900665	11226965	8961060
9002423	120637	9887735	8848329	9750559
9952698	120043	9001692	9998126	8985620
10096600	124234	9273266	7951855	10043713
10066015	150899	9738711	10131555	10077365
8871739	104890	8948213	9073263	8129588
10000741	121473	9001983	9805763	8899159
9104236	108365	10022078	7955014	26922910
9802742	110985	9016424	10041926	1057435
8101279	110338	9115466	9056154	11989677
10834280	110743	9887520	9899722	7939417
9177809	111930	9091406	8030101	9108287
9006054	137363	9926737	10061015	9830101
11934635	203063	8051249	9124532	6056389
7140264	134624	10433753	9247163	13035054
12795082	96977	8556169	9513573	9009904
5856367	112246	9905868	9009292	9969856
12167087	126593	9010575	9194371	7091233
10048733	110367	9026405	9771710	10840105
9036323	335211	9950409	9016051	8980457
9691855	84623	9046954	8994949	8936289
9176346	115240	9024731	9173743	10014744
10063790	105644	9926675	9889002	8062950
3734550	112130	9171017	8884407	10136236
2170443	108843	9929772	9372732	9917016
12034459	109534	9049173	9666589	8008506
9954397	133454	8903569	8270694	10262633
8846821	131871	10166228	10075209	8607857
11043142	115444	8183536	8933512	8954692
8003524	106136	9877243	9695722	10077273
9104410	106678	9828422	10101868	8064954
9860520	107879	7955696	7967160	9939250
10090748	108672	9949376	9924179	9097797
7930716	110797	9016680	8987927	9770508
8966716	100901	9995234	9085281	8249671
11090887	116650	8075709	9018949	10079837
7954129	806317	10918432	10940556	8925403
8877695	165728	6942397	8490506	9701217
11175502	149069	11331979	10569945	9245604
8796764	117293	8769589	9902470	10831169
9100594	114240	8989664	9000104	7349907
11041941	115331	8972077	11083400	10705375
8796089	130050	9967446	7928400	2982425
9158516	98783	8263909	10982554	152683
10036033	113218	9702090	10099843	1754714
8914524	113278	9139579	8867195	12169270
9418241	136699	9868086	10062239	7889812
9607578	64346	10004431	9957256	9276184
9853031	105373	8006844	9044423	7733593
8135562	111802	8995466	9957823	11969525
9810892	107944	11089253	8561315	8934964
1173154	109280	6880931	10472113	8060997
4233155	110542	9919739	7991032	10957100
14635304	145576	11197346	9911535	8073956
6971527	136347	8051366	9037530	9892681
10942142	355676	8757625	9475109	9107143
9077107	115246	9953868	8746978	8958300
10929785	108472	8289534	9784506	8939814
7134653	111752	10998789	12179469	11135879
11938324	109458	7865191	7894470	6891667
7017132	111316	10059361	9987811	10977523
11044788	275827	7974252	10059920	8371119
7819555	110596	10839977	8881443	9662911
11129852	114918	7269317	10070572	8916035
7848188	107048	10704034	9077528	9958229
10999593	108215	387721	9799681	10694879
9025852	108902	210058	10054773	8279880
10027692	109644	4403587	8964606	9041737
8966272	123793	4003645	10056629	9085386
10052472	136609	8115652	9926363	11911459
8972425	134956	6910719	8000251	10273056
11020919	122303	8095272	9963274	7840688
9922909	106212	11856814	9083206	10879002
7977423	106603	9101191	9042182	9040977
10893632	108052	8929576	9904085	11107703
9085120	114237	10095881	8976484	7076361
11009475	156746	7985817	9001493	11014755
8056084	173672	9909052	10012057	9788311
10851694	163222	8135805	10048205	8915934
10039355	129460	11913784	9993956	10040261
9026026	130220	6881716	8960134	105611
9845063	110989	10014155	11094212	7801334
9976557	114719	9019689	7846793	11023980
10033617	112493	10036426	11260242	2012460
9180284	115521	8327062	9799714	5036045
9925660	98604	9595246	8907023	11981019
8833291	132145	10020916	8973942	10000118
11133776	105511	7994897	6074117	9210387
8893605	113380	9975556	1876221	9936388
10992744	110489	9085830	12325669	10021377
7974073	97756	8999589	8849460	8827381
10302059	108572	9906388	9929189	9102515
10875738	109677	9119069	8396739	9880217
7873150	115083	8950987	8669046	4177452
11038529	99729	8865145	29924213	1847873
9853940	242475	10068536	14210886	12954240
9036249	116116	9954413	8915412	6984999
10060672	107249	7020628	7915074	10954044
8933075	109108	9949620	11182203	8026281
10139203	115317	9992845	9754958	8965611
9958863	9305625	7986046	9026750	9997278
9876415	10169003	11070321	10029610	9046780
8114944	10878786	8215672	9160207	9013449
12090872	7945880	9851699	10801574	8055667
8797114	10467982	8965381	9000887	11944106
9120343	8551926	9272494	367066	7972413
9815835	8943147	9704200	643113	8423192
11103993	10068948	7901650	4290259	11593972
7874154	9022805	9965648	13720776	7924524
10971035	8924163	9062845	7035412	9131849
9208497	9211613	9248241	11930441	8870266
9868451	9786892	9800853	7997221	8966374
9953927	8506822	8973018	10135957	10981138
9040134	9869273	8927900	8784590	7132628
9965540	9647317	9055724	9101352	10823368
11910104	7991603	9989699	10098386	10303671
7017268	11015272	8985216	8849236	9834109
11036915	7954894	9047728	8927785	8959359
8984041	9357191	10131397	9972992	9908826
3990802	9693722	9825586	9008250	11002598
2901180	8962427	9315599	8915148	8004891
13247779	9379547	10627674	9041349	10042647
7853067	9992283	9072952	9199824	11210591
9958768	11820473	9942998	10801149	7931265
11097400	7943850	9956878	9003571	9802610
7885024	9836232	9056308	9411801	9121630
11894079	9033461	10000461	10534583	8989508
7156647	10024372	8959813	9010201	9903655
11127029	9154466	9992199	11014671	10061875
9870646	10865001	9018590	9065199	10024818
8958892	9063874	9462963	8319765	211970
11038532	9908435	9576827	9806919	6677311
8918484	9999330	8977792	9022299	8212938
10070322	9001414	9098204	9779066	315913
9975525	9034860	9815777	8267694	12582018
8899242	9978070	9028557	10763326	216600
9075740	8272808	10983735	8038803	4724433
8918869	10018388	8400502	9902033	201974
11136897	10766954	10668524	9050865	12647604
7870959	7894327	8941924	9901051	178598
10060273	10007593	10328747	8008880	4879708
9818519	8165235	9725687	10065547	185379
7340697	9785829	9316870	9185201	11785579
790378	9031803	9955830	9830227	276344
1243383	11039526	10064811	7905715	5836327
5705438	6945564	9639813	10003488	11804575
11998995	11064846	10001615	10041004	1289577
8028681	7946695	10016256	8019382	5833297
10877692	9985740	11191697	10035183	10960743
8025859	9428248	7705839	8974099	975305
12311525	8770521	9102957	9127948	630167
7741585	11999766	9989741	10110646	3425660
10958888	5944107	9109190	9776816	12031776
8875783	11878438	11963310	8908531	10858638
10088080	9917549	7211550	10021431	8069467
9938981	1231957	11703362	9931388	11078452
389168	3787336	7993324	331138	9447096
2644711	11075311	8945427	3284459	8415708
1979197	9136730	9290696	528732	10005503
14058316	9821946	9703349	267492	7948804
7127454	8948382	8999238	12573027	11016982
10892126	9958908	10085583	4256556	7962975
8933286	9128837	9024884	960983	10051140
11081040	10889159	9933191	10988085	10136822
7128583	3165197	6416933	9010896	9030808
11836733	3871202	12108274	9839611	8883716
8879633	360553	8441737	7935274	10889009
9010883	7686554	10041813	11030914	7996947
8010246	12593175	8949237	8030398	10026424
11009772	8435329	8983547	9972217	8991113
7332301	856716	10024457	9029373	9096687
11578533	7996841	8413315	10053579	8956186
8009746	9313652	9691183	9957752	8944032
9182170	11708069	10998691	8094776	9933236
10890460	8093935	6000734	10147860	8983243
7107004	10858870	27952220	7922763	10120305
11969134	7961968	921215	9805815	8168372
7951907	12025039	10999703	8920902	9801780
9909074	7959350	9007720	8093816	8956929
8914032	10039338	9427897	10936926	8978883
12154590	109921	8890789	9084091	10042885
8206351	7493617	10133640	8896697	9034908
10814981	2826324	9524409	10035551	8894465
8945354	544060	8036521	8481067	10065195
11127927	135587	9989752	9513961	8965804
7810880	114681	9010174	8964417	9024035
11026478	58457	9927249	9221230	8877365
8093268	130644	9346668	9751004	11157397
11934736	132695	9684351	1425235	6798238
7886817	132957	10033235	5991809	9395633
10077464	134693	10122843	10625875	8913590
10984464	150240	7799507	9234429	11802656
8032956	119904	11123717	9806048	6951882
10923925	107523	8307737	8544425	11023693
7962339	121076	9676841	9312834	8013331
11068294	111974	9125911	10028497	10096770
10016588	108762	9864443	8206667	8778819
8978828	300944	8919149	9967525	9975536
10014860	145015	9087308	10120633	8018095
8981950	109578	8874089	9870100	11026285
8897284	98318	9103320	7966643	8109546
11023494	107620	9971257	9956447	10002970
9069575	108602	7969556	8205279	8909988
8846996	108727	10117107	9747735	8253251
9003148	118108	8956030	8910192	10726563
9118414	115106	9913509	9160951	8240956
10222593	145794	8213420	9902052	9750501
9802757	58631	10101209	9003145	10084095
7903936	162552	8705896	8945708	7916016
9967838	131845	9961768	10088819	5021765
9000938	133572	9037589	8990852	1894956
10243963	136673	8963961	8926044	11983695
8040845	45092	9946050	9970977	8023606
9957736	117229	8122459	8213416	8627891
9734183	127177	10120313	9804355	25748556
7935426	135127	8932082	9167982	2604518
10107423	118576	9829396	9911864	11125514
9161261	107374	8208820	7890487	7918878
11191164	108022	9995884	10345298	9886253
6957330	107869	9881609	8965762	8988100
9952335	133508	8123892	9703296	9067929
9666270	137059	10054294	9036233	9127320
8017749	135148	8773974	9001437	11865699
9999037	153610	9902166	9990125	7163583
9999433	232547	8250813	9061179	10890699
9035633	156701	10923109	9895697	7990291
9183438	158171	8983025	7982264	10039166
9768716	103476	7917710	11094594	7879829
8932519	132664	9966956	7990488	11007565
10084744	282542	9080005	10033748	7995476
9038527	89847	9871550	9021496	11005396
8921009	121520	8010894	9133075	7162819
9051448	123056	10116045	8744463	10971997
9928519	108449	9154759	9163140	7880946
9047415	109349	9036308	9861999	10018350
8999042	100109	9694141	9932015	9189177
10012807	111256	8996880	8951299	9820987
8054606	135737	9274002	10204906	8043899
10101179	121297	9197107	9857380	10831257
8916630	111424	9506206	9968671	8196003
9895199	110058	9159431	9158602	9805786
8423681	108566	10920555	9971359	7967617
9538827	107706	7178198	9845217	11943833
10025162	112599	10780713	10010078	6249605
9027872	111612	8010695	9001387	11011438
7927633	114057	10051669	9984415	9899566
11261346	66752	5269366	10028446	7885138
9792232	140140	1690452	9980967	10979128
8955604	104968	10956977	8988091	8099625
10029499	106069	8006257	9322266	9975447
9982209	106916	10030552	9775604	7900782
210758	108849	8974920	9044991	9179696
7726859	142587	10015553	9852759	121443
11044058	161500	7982946	9980170	7805661
7982301	139534	10389898	8991897	10006746
9987393	133410	8553920	10396897	9891503
10058344	105977	10043288	9602056	10285533
9965864	106361	8373856	9998681	7041177
8266581	107378	9760169	9084648	9694834
1985565	108250	9870433	10985751	10984160
5892299	112771	7940027	8932847	8121909
10874504	110902	9023635	8159830	10815369
